task_id,problem_label,n_train,metric,confidence_level,bootstrap_draws,bootstrap_seed,bootstrap_unit,bootstrap_index_sha256,comparison_scope,observed_leader,observed_leader_label,best_model_confidence_set,best_model_confidence_set_labels,confidence_set_size,identified_best,identified_model,identified_model_label
bdb2021_completion,Completion probability,100,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2021_completion,Completion probability,130,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2022_punt_returns,Punt-return yards,10,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,relnet,RelNet,"[""relnet""]","[""RelNet""]",1,True,relnet,RelNet
bdb2022_punt_returns,Punt-return yards,20,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,relnet,RelNet,"[""attn_relnet"", ""relnet""]","[""AttnRelNet"", ""RelNet""]",2,False,,
bdb2022_punt_returns,Punt-return yards,40,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,attn_relnet,AttnRelNet,"[""attn_relnet"", ""relnet""]","[""AttnRelNet"", ""RelNet""]",2,False,,
bdb2022_punt_returns,Punt-return yards,60,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,attn_relnet,AttnRelNet,"[""attn_relnet"", ""relnet""]","[""AttnRelNet"", ""RelNet""]",2,False,,
bdb2022_punt_returns,Punt-return yards,160,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,attn_relnet,AttnRelNet,"[""attn_relnet"", ""relnet""]","[""AttnRelNet"", ""RelNet""]",2,False,,
bdb2022_punt_returns,Punt-return yards,360,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure"", ""relnet""]","[""Linear-Structure"", ""RelNet""]",2,False,,
bdb2023_sack,Pressure to sack,10,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure"", ""relnet""]","[""Linear-Structure"", ""RelNet""]",2,False,,
bdb2023_sack,Pressure to sack,20,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""attn_relnet"", ""linear_structure"", ""relnet""]","[""AttnRelNet"", ""Linear-Structure"", ""RelNet""]",3,False,,
bdb2023_sack,Pressure to sack,30,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure""]","[""Linear-Structure""]",1,True,linear_structure,Linear-Structure
bdb2023_sack,Pressure to sack,40,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""attn_relnet"", ""linear_structure""]","[""AttnRelNet"", ""Linear-Structure""]",2,False,,
bdb2023_sack,Pressure to sack,50,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure"", ""set_transformer""]","[""Linear-Structure"", ""Set Transformer""]",2,False,,
bdb2023_sack,Pressure to sack,60,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""attn_relnet"", ""linear_structure"", ""relnet"", ""set_transformer""]","[""AttnRelNet"", ""Linear-Structure"", ""RelNet"", ""Set Transformer""]",4,False,,
bdb2024_tackle,Tackle involvement,10,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2024_tackle,Tackle involvement,20,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2024_tackle,Tackle involvement,30,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2024_tackle,Tackle involvement,40,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2024_tackle,Tackle involvement,50,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2024_tackle,Tackle involvement,60,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2025_man_zone,Man/Zone,10,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure"", ""linear_structure""]","[""Boosted-Structure"", ""Linear-Structure""]",2,False,,
bdb2025_man_zone,Man/Zone,20,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2025_man_zone,Man/Zone,30,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2025_man_zone,Man/Zone,40,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2025_man_zone,Man/Zone,50,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,boosted_structure,Boosted-Structure,"[""boosted_structure""]","[""Boosted-Structure""]",1,True,boosted_structure,Boosted-Structure
bdb2025_man_zone,Man/Zone,60,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""boosted_structure"", ""set_transformer""]","[""Boosted-Structure"", ""Set Transformer""]",2,False,,
