metric,aggregation,n_train,model,model_display_name,comparators_supported,comparators_required,supported_best,comparison_evidence
crps,play,40,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.0012707926490517656,""simultaneous_upper"":-0.0006917624863683501,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.001483515759813361,""simultaneous_upper"":-0.0009031184605967369,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0012822034352866335,""simultaneous_upper"":0.0018701544362603934,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps,play,40,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0005376839431654104,""simultaneous_upper"":0.0006521187929615007,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00033212745031275875,""simultaneous_upper"":0.0004335962008241702,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0012822034352866335,""simultaneous_upper"":0.0018701544362603934,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps_game_equal,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00018249780926191063,""simultaneous_upper"":0.0002607708581388564,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0012885906883419052,""simultaneous_upper"":-0.0007030620057269476,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00053757222516286,""simultaneous_upper"":0.0006504022848173331,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,40,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.00018249780926191063,""simultaneous_upper"":0.0002607708581388564,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0015110026645201815,""simultaneous_upper"":-0.000923918696949438,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0003220387313455879,""simultaneous_upper"":0.0004226671112338389,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,40,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.0012885906883419052,""simultaneous_upper"":-0.0007030620057269476,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.0015110026645201815,""simultaneous_upper"":-0.000923918696949438,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0012919531978643208,""simultaneous_upper"":0.001887674006184725,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,40,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.00053757222516286,""simultaneous_upper"":0.0006504022848173331,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0003220387313455879,""simultaneous_upper"":0.0004226671112338389,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0012919531978643208,""simultaneous_upper"":0.001887674006184725,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,0,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.000364165445238925,""simultaneous_upper"":0.0004350463414060622,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.00020902253893634453,""simultaneous_upper"":0.00022079517557447288,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0008755389571875644,""simultaneous_upper"":0.0009671749472906382,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,80,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.000364165445238925,""simultaneous_upper"":0.0004350463414060622,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0006019842874529857,""simultaneous_upper"":-0.0001854548625538728,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0004731684271773024,""simultaneous_upper"":0.0005703336906559123,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps,play,80,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.00020902253893634453,""simultaneous_upper"":0.00022079517557447288,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.0006019842874529857,""simultaneous_upper"":-0.0001854548625538728,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0007016998155138661,""simultaneous_upper"":0.0011292414523262073,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps,play,80,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0008755389571875644,""simultaneous_upper"":0.0009671749472906382,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0004731684271773024,""simultaneous_upper"":0.0005703336906559123,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0007016998155138661,""simultaneous_upper"":0.0011292414523262073,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps_game_equal,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,0,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0003754682704730924,""simultaneous_upper"":0.00044558569849298857,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.00021822684292047002,""simultaneous_upper"":0.00021146535561668498,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.000871942317076974,""simultaneous_upper"":0.0009634684031422337,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,80,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0003754682704730924,""simultaneous_upper"":0.00044558569849298857,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0006221651072674972,""simultaneous_upper"":-0.00020565034900236857,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00045828400894381476,""simultaneous_upper"":0.0005560727423093121,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,80,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.00021822684292047002,""simultaneous_upper"":0.00021146535561668498,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.0006221651072674972,""simultaneous_upper"":-0.00020565034900236857,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0007067667544996376,""simultaneous_upper"":0.0011354054530233555,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,80,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.000871942317076974,""simultaneous_upper"":0.0009634684031422337,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00045828400894381476,""simultaneous_upper"":0.0005560727423093121,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0007067667544996376,""simultaneous_upper"":0.0011354054530233555,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps,play,160,ridge_sgd_l2,L2 one-vs-rest logistic,0,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0005942945237789457,""simultaneous_upper"":0.0006505905848239825,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0005466061906834416,""simultaneous_upper"":0.0008999179092788911,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0012990730483662376,""simultaneous_upper"":0.0014086195727310274,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,160,lightgbm_multiclass,LightGBM,1,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0005942945237789457,""simultaneous_upper"":0.0006505905848239825,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-7.657020920631656e-05,""simultaneous_upper"":0.0002782092005657207,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0006742997547125475,""simultaneous_upper"":0.0007885077577817887,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps,play,160,zoo_cnn,Zoo CNN,1,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0005466061906834416,""simultaneous_upper"":0.0008999179092788911,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-7.657020920631656e-05,""simultaneous_upper"":0.0002782092005657207,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0004444584395297852,""simultaneous_upper"":0.0008167100816051473,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps,play,160,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0012990730483662376,""simultaneous_upper"":0.0014086195727310274,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0006742997547125475,""simultaneous_upper"":0.0007885077577817887,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0004444584395297852,""simultaneous_upper"":0.0008167100816051473,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps_game_equal,game_equal,160,ridge_sgd_l2,L2 one-vs-rest logistic,0,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0006051149885027562,""simultaneous_upper"":0.0006601886366163742,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0005347011415237782,""simultaneous_upper"":0.0008933779940641859,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.001294580025270697,""simultaneous_upper"":0.001403736639822684,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,160,lightgbm_multiclass,LightGBM,1,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0006051149885027562,""simultaneous_upper"":0.0006601886366163742,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-9.913155037971153e-05,""simultaneous_upper"":0.0002619070608485453,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0006592402674869461,""simultaneous_upper"":0.0007737727724873039,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,160,zoo_cnn,Zoo CNN,1,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0005347011415237782,""simultaneous_upper"":0.0008933779940641859,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-9.913155037971153e-05,""simultaneous_upper"":0.0002619070608485453,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0004457265328118298,""simultaneous_upper"":0.000824510996693586,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,160,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.001294580025270697,""simultaneous_upper"":0.001403736639822684,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0006592402674869461,""simultaneous_upper"":0.0007737727724873039,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0004457265328118298,""simultaneous_upper"":0.000824510996693586,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps,play,240,ridge_sgd_l2,L2 one-vs-rest logistic,0,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0007267193258154641,""simultaneous_upper"":0.0007753114806519126,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0009922711340190186,""simultaneous_upper"":0.0012487078657191302,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0015012616179681413,""simultaneous_upper"":0.0015983671849218884,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,240,lightgbm_multiclass,LightGBM,1,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0007267193258154641,""simultaneous_upper"":0.0007753114806519126,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.000237430519889944,""simultaneous_upper"":0.000501517673380828,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0007478081815968998,""simultaneous_upper"":0.0008497898148257521,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps,play,240,zoo_cnn,Zoo CNN,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0009922711340190186,""simultaneous_upper"":0.0012487078657191302,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.000237430519889944,""simultaneous_upper"":0.000501517673380828,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00029005134969213993,""simultaneous_upper"":0.00056859845345974,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps,play,240,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0015012616179681413,""simultaneous_upper"":0.0015983671849218884,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0007478081815968998,""simultaneous_upper"":0.0008497898148257521,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.00029005134969213993,""simultaneous_upper"":0.00056859845345974,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps_game_equal,game_equal,240,ridge_sgd_l2,L2 one-vs-rest logistic,0,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0007362776227374109,""simultaneous_upper"":0.0007833740940271759,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0009814011776314467,""simultaneous_upper"":0.0012384813686581717,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0014938131038277052,""simultaneous_upper"":0.001591894326758356,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,240,lightgbm_multiclass,LightGBM,1,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0007362776227374109,""simultaneous_upper"":0.0007833740940271759,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.00021821177490192534,""simultaneous_upper"":0.00048201905462310615,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0007314036800461029,""simultaneous_upper"":0.0008346520337753717,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,240,zoo_cnn,Zoo CNN,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0009814011776314467,""simultaneous_upper"":0.0012384813686581717,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00021821177490192534,""simultaneous_upper"":0.00048201905462310615,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00029365588392396753,""simultaneous_upper"":0.0005721690003724761,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
